频道,#genre#
安徽卫视,http://60.168.224.189:2000/rtp/238.1.79.27:4328
安徽经济生活,http://60.168.224.189:2000/rtp/238.1.79.44:4464
安徽影视,http://60.168.224.189:2000/rtp/238.1.79.42:4448
安徽公共,http://60.168.224.189:2000/rtp/238.1.79.43:4456
安徽体育HD,http://60.168.224.189:2000/rtp/238.1.79.41:4440
安徽科教HD,http://60.168.224.189:2000/rtp/238.1.79.40:4432
安徽人物HD,http://60.168.224.189:2000/rtp/238.1.79.45:4472
安徽国际,http://60.168.224.189:2000/rtp/238.1.78.61:6360
安徽导视,http://60.168.224.189:2000/rtp/238.1.79.66:4664
海豚生活HD,http://60.168.224.189:2000/rtp/238.1.79.50:4512
海豚少儿HD,http://60.168.224.189:2000/rtp/238.1.79.32:4368
海豚健康HD,http://60.168.224.189:2000/rtp/238.1.79.33:4376
海豚影视HD,http://60.168.224.189:2000/rtp/238.1.79.34:4384
家家购物,http://60.168.224.189:2000/rtp/238.1.78.32:6184
北京卫视,http://60.168.224.189:2000/rtp/238.1.78.162:7168
天津卫视,http://60.168.224.189:2000/rtp/238.1.78.20:6088
重庆卫视,http://60.168.224.189:2000/rtp/238.1.78.31:6176
东方卫视,http://60.168.224.189:2000/rtp/238.1.78.163:7176
安徽卫视,http://60.168.224.189:2000/rtp/238.1.78.150:7072
江苏卫视,http://60.168.224.189:2000/rtp/238.1.78.165:7192
浙江卫视,http://60.168.224.189:2000/rtp/238.1.78.164:7184
黑龙江卫视,http://60.168.224.189:2000/rtp/238.1.78.159:7144
吉林卫视,http://60.168.224.189:2000/rtp/238.1.79.48:4496
辽宁卫视,http://60.168.224.189:2000/rtp/238.1.78.21:6096
东南卫视,http://60.168.224.189:2000/rtp/238.1.78.22:6104
四川卫视,http://60.168.224.189:2000/rtp/238.1.78.30:6168
江西卫视,http://60.168.224.189:2000/rtp/238.1.78.26:6136
广东卫视,http://60.168.224.189:2000/rtp/238.1.78.161:7160
海南卫视,http://60.168.224.189:2000/rtp/238.1.79.49:4504
湖北卫视,http://60.168.224.189:2000/rtp/238.1.78.168:7216
湖南卫视,http://60.168.224.189:2000/rtp/238.1.78.160:7152
贵州卫视,http://60.168.224.189:2000/rtp/238.1.78.244:7824
河北卫视,http://60.168.224.189:2000/rtp/238.1.78.245:7832
河南卫视,http://60.168.224.189:2000/rtp/238.1.79.65:4632
山东卫视,http://60.168.224.189:2000/rtp/238.1.78.169:7224
甘肃卫视,http://60.168.224.189:2000/rtp/238.1.79.36:4400
陕西卫视,http://60.168.224.189:2000/rtp/238.1.78.88:6576
云南卫视,http://60.168.224.189:2000/rtp/238.1.78.89:6584
山西卫视,http://60.168.224.189:2000/rtp/238.1.78.95:6632
青海卫视,http://60.168.224.189:2000/rtp/238.1.78.102:6688
广西卫视,http://60.168.224.189:2000/rtp/238.1.78.70:6432
内蒙古卫视,http://60.168.224.189:2000/rtp/238.1.78.103:6696
宁夏卫视,http://60.168.224.189:2000/rtp/238.1.78.109:6744
新疆卫视,http://60.168.224.189:2000/rtp/238.1.78.110:6752
西藏卫视,http://60.168.224.189:2000/rtp/238.1.78.101:6680
深圳卫视,http://60.168.224.189:2000/rtp/238.1.78.156:7120
兵团卫视,http://60.168.224.189:2000/rtp/238.1.78.104:6704
三沙卫视,http://60.168.224.189:2000/rtp/238.1.78.27:6144
