央视卫视HD,#genre#
CCTV3-综艺, http://221.226.4.10:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺, http://222.186.212.25:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺, http://218.2.110.186:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺, http://49.89.45.230:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺, http://180.101.226.42:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺, http://218.4.60.218:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺, http://58.210.23.42:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺, http://58.209.101.210:9901/tsfile/live/0003_1.m3u8
CCTV4-国际, http://49.84.197.249:9901/tsfile/live/0004_1.m3u8
CCTV4-国际, http://58.222.98.206:9901/tsfile/live/0004_1.m3u8
CCTV4-国际, http://222.186.212.25:9901/tsfile/live/0004_1.m3u8
CCTV4-国际, http://218.2.110.186:9901/tsfile/live/0004_1.m3u8
CCTV4-国际, http://49.89.45.230:9901/tsfile/live/0004_1.m3u8
CCTV4-国际, http://180.101.226.42:9901/tsfile/live/0004_1.m3u8
CCTV4-国际, http://218.4.60.218:9901/tsfile/live/0004_1.m3u8
CCTV4-国际, http://58.210.23.42:9901/tsfile/live/0004_1.m3u8
CCTV4-国际, http://58.209.101.210:9901/tsfile/live/0004_1.m3u8
CCTV5-体育, http://49.84.197.249:9901/tsfile/live/0005_1.m3u8
CCTV5-体育, http://58.222.98.206:9901/tsfile/live/0005_1.m3u8
CCTV5-体育, http://222.186.212.25:9901/tsfile/live/0005_1.m3u8
CCTV5-体育, http://221.226.4.10:9901/tsfile/live/1000_1.m3u8
CCTV5-体育, http://218.2.110.186:9901/tsfile/live/0005_1.m3u8
CCTV5-体育, http://49.89.45.230:9901/tsfile/live/0005_1.m3u8
CCTV5-体育, http://180.101.226.42:9901/tsfile/live/0005_1.m3u8
CCTV5-体育, http://218.4.60.218:9901/tsfile/live/0005_1.m3u8
CCTV5-体育, http://58.210.23.42:9901/tsfile/live/0005_1.m3u8
CCTV5-体育, http://58.209.101.210:9901/tsfile/live/0005_1.m3u8
CCTV5+, http://49.84.197.249:9901/tsfile/live/0016_1.m3u8
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8
CCTV6-电影, http://49.84.197.249:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://58.222.98.206:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://221.226.4.10:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://222.186.212.25:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://218.2.110.186:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://49.89.45.230:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://180.101.226.42:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://218.4.60.218:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://58.210.23.42:9901/tsfile/live/0006_1.m3u8
CCTV6-电影, http://58.209.101.210:9901/tsfile/live/0006_1.m3u8
CCTV7-军事农业, http://49.84.197.249:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://58.222.98.206:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://221.226.4.10:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://222.186.212.25:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://218.2.110.186:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://49.89.45.230:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://180.101.226.42:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://218.4.60.218:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://218.4.60.218:9901/tsfile/live/0128_1.m3u8
CCTV7-军事农业, http://58.210.23.42:9901/tsfile/live/0007_1.m3u8
CCTV7-军事农业, http://58.209.101.210:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧, http://49.84.197.249:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://58.222.98.206:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://221.226.4.10:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://222.186.212.25:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://49.87.154.246:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://218.2.110.186:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://49.89.45.230:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://180.101.226.42:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://218.4.60.218:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://58.210.23.42:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧, http://58.209.101.210:9901/tsfile/live/0008_1.m3u8
CCTV9-纪录, http://49.84.197.249:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录, http://58.222.98.206:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录, http://222.186.212.25:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录, http://218.2.110.186:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录, http://49.89.45.230:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录, http://180.101.226.42:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录, http://218.4.60.218:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录, http://58.210.23.42:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录, http://58.209.101.210:9901/tsfile/live/0009_1.m3u8
CCTV10-科教, http://49.84.197.249:9901/tsfile/live/0010_1.m3u8
CCTV10-科教, http://58.222.98.206:9901/tsfile/live/0010_1.m3u8
CCTV10-科教, http://222.186.212.25:9901/tsfile/live/0010_1.m3u8
CCTV10-科教, http://218.2.110.186:9901/tsfile/live/0010_1.m3u8
CCTV10-科教, http://49.89.45.230:9901/tsfile/live/0010_1.m3u8
CCTV10-科教, http://180.101.226.42:9901/tsfile/live/0010_1.m3u8
CCTV10-科教, http://218.4.60.218:9901/tsfile/live/0010_1.m3u8
CCTV10-科教, http://58.210.23.42:9901/tsfile/live/0010_1.m3u8
CCTV10-科教, http://58.209.101.210:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲, http://49.84.197.249:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲, http://58.222.98.206:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲, http://222.186.212.25:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲, http://218.2.110.186:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲, http://49.89.45.230:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲, http://180.101.226.42:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲, http://218.4.60.218:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲, http://58.210.23.42:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲, http://58.209.101.210:9901/tsfile/live/0011_1.m3u8
