央卫频道1,#genre#
陕西卫视,http://ygbh666.cn/aikmigu.php?id=sxws
新疆卫视,http://ygbh666.cn/aikmigu.php?id=xjws
西藏卫视,http://ygbh666.cn/aikmigu.php?id=xzws





央卫频道3,#genre#
CCTV1  综合,http://rihou.cc:567/aikan.php?id=cctv1
CCTV2  财经,http://rihou.cc:567/aikan.php?id=cctv2
CCTV3  综艺,http://rihou.cc:567/aikan.php?id=cctv3
CCTV4  国际,http://rihou.cc:567/aikan.php?id=cctv4
CCTV5  体育,http://rihou.cc:567/aikan.php?id=cctv5
CCTV5+ 赛事,http://rihou.cc:567/aikan.php?id=cctv5p
CCTV6  电影,http://rihou.cc:567/aikan.php?id=cctv6
CCTV7  军事,http://rihou.cc:567/aikan.php?id=cctv7
CCTV8  剧场,http://rihou.cc:567/aikan.php?id=cctv8
CCTV9  记录,http://rihou.cc:567/aikan.php?id=cctv9
CCTV10 科教,http://rihou.cc:567/aikan.php?id=cctv10
CCTV11 戏曲,http://rihou.cc:567/aikan.php?id=cctv11
CCTV12 法律,http://rihou.cc:567/aikan.php?id=cctv12
CCTV13 新闻,http://rihou.cc:567/aikan.php?id=cctv13
CCTV14 少儿,http://rihou.cc:567/aikan.php?id=cctv14
CCTV15 音乐,http://rihou.cc:567/aikan.php?id=cctv15
CCTV17 农业,http://rihou.cc:567/aikan.php?id=cctv17
东方卫视,http://rihou.cc:567/aikan.php?id=dfws
吉林卫视,http://rihou.cc:567/aikan.php?id=jlws
青海卫视,http://rihou.cc:567/aikan.php?id=qhws
陕西卫视,http://rihou.cc:567/aikan.php?id=sxws
湖北卫视,http://rihou.cc:567/aikan.php?id=hubws
江西卫视,http://rihou.cc:567/aikan.php?id=jxws
江苏卫视,http://rihou.cc:567/aikan.php?id=jsws
广东卫视,http://rihou.cc:567/aikan.php?id=gdws
湾区卫视,http://rihou.cc:567/aikan.php?id=dwqws
海南卫视,http://rihou.cc:567/aikan.php?id=hinws

央卫频道4,#genre#
