香港频道,#genre# 
Danang TV1 HD,http://zb.hpc.tw/smtv.php?id=viet_danangtv1
Danang TV2 HD,http://zb.hpc.tw/smtv.php?id=viet_danangtv2
HBTV HD,http://zb.hpc.tw/smtv.php?id=viet_hbtv
PTTH 1,http://zb.hpc.tw/smtv.php?id=viet_ptth1

韩国频道,#genre# 
Arirang HD,http://zb.hpc.tw/smtv.php?id=arirang_korea
Yonhap News,http://zb.hpc.tw/smtv.php?id=yonhapnews_korea
CBS,http://zb.hpc.tw/smtv.php?id=cbs_korea
EBS 1,http://zb.hpc.tw/smtv.php?id=ebs1_korea
EBS2,http://zb.hpc.tw/smtv.php?id=ebs2_korea
EBS Plus2,http://zb.hpc.tw/smtv.php?id=ebsplus2_korea
SBS Plus,http://zb.hpc.tw/smtv.php?id=sbsplus_korea
YTN,http://zb.hpc.tw/smtv.php?id=ytn_korea
KBS World 24,http://zb.hpc.tw/smtv.php?id=kbsworld24_korea
YTN Science,http://zb.hpc.tw/smtv.php?id=ytnscience_korea
YTN Korean,http://zb.hpc.tw/smtv.php?id=ytnkorean_korea
YTN DMB,http://zb.hpc.tw/smtv.php?id=ytndmb_korea
Apps TV,http://zb.hpc.tw/smtv.php?id=appongoogle_korea
All the Kpop,http://zb.hpc.tw/smtv.php?id=allthekpop_korea
J the Kpop,http://zb.hpc.tw/smtv.php?id=jthekpop_korea
EBS Kids,http://zb.hpc.tw/smtv.php?id=ebskids_korea
CGNTV,http://zb.hpc.tw/smtv.php?id=cgntv_korea

日本频道,#genre# 
NHK-総合-2,http://zb.hpc.tw/smtv.php?id=nhkg_japan
NHK-E,http://zb.hpc.tw/smtv.php?id=nhke_japan
テレビ朝日 Asahi TV,http://zb.hpc.tw/smtv.php?id=asahitv_japan
JET 綜合,http://zb.hpc.tw/smtv.php?id=jettv_japan
テレビ東京 Tokyo TV,http://zb.hpc.tw/smtv.php?id=tokyotv_japan
TOKYOMX,http://zb.hpc.tw/smtv.php?id=tokyomx_japan
NHKBS1,http://zb.hpc.tw/smtv.php?id=nhkbs1_japan
NHKBSプレミア Premium,http://zb.hpc.tw/smtv.php?id=nhkpremium_japan
BSジャパン 181,http://zb.hpc.tw/smtv.php?id=bs181_japan
BSフジ BS Fuji,http://zb.hpc.tw/smtv.php?id=bsfuji_japan
CNA Japan,http://zb.hpc.tw/smtv.php?id=cna_japan
BS-TBS,http://zb.hpc.tw/smtv.php?id=bstbs_japan
NHK Oaska,http://zb.hpc.tw/smtv.php?id=nhkosaka_japan
