香港频道,#genre# 
大爱2台,http://zb.hpc.tw/smtv.php?id=daai2_twn
亚洲美食,http://zb.hpc.tw/smtv.php?id=afc_twn
美食星球,http://zb.hpc.tw/smtv.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://zb.hpc.tw/smtv.php?id=tlc_twn
东森电影 ETTV Movie,http://zb.hpc.tw/smtv.php?id=ettvmovie
阿里郎 Arirang,http://zb.hpc.tw/smtv.php?id=arirang_twn
博斯运动 1,http://zb.hpc.tw/smtv.php?id=bosisport1_twn
博斯运动 2,http://zb.hpc.tw/smtv.php?id=bosisport2_twn
博斯高球2 HD,http://zb.hpc.tw/smtv.php?id=bosigolf2_twn
博斯网球 HD,http://zb.hpc.tw/smtv.php?id=bositennis_twn
东森洋片 ETTV Western,http://zb.hpc.tw/smtv.php?id=ettvwestern
龙华洋片 Lunghua Western,http://zb.hpc.tw/smtv.php?id=lunghuawestern_twn
博斯无限,http://zb.hpc.tw/smtv.php?id=bosiunlimited_twn
MTV Live,http://zb.hpc.tw/smtv.php?id=mtvhd_twn
龙详时代,http://zb.hpc.tw/smtv.php?id=lungxiangtime_twn
EYETV 旅游,http://zb.hpc.tw/smtv.php?id=eyetvtravel_twn
靖天卡通台,http://zb.hpc.tw/smtv.php?id=jingtiancartoon_twn
EYETV 戏剧,http://zb.hpc.tw/smtv.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://zb.hpc.tw/smtv.php?id=weishichinese_twn
东森幼幼 Yoyo TV,http://zb.hpc.tw/smtv.php?id=yoyo_twn
卫视电影台,http://zb.hpc.tw/smtv.php?id=weishimovie_twn
美亚电影,http://zb.hpc.tw/smtv.php?id=meiyamovie_twn
爱尔达影剧台,http://zb.hpc.tw/smtv.php?id=eltayingju_twn
爱尔达综合台,http://zb.hpc.tw/smtv.php?id=eltazonghe_twn
星卫电影,http://zb.hpc.tw/smtv.php?id=xingwei_movie
AFC 亚洲旅游台,http://zb.hpc.tw/smtv.php?id=asiatravel_twn

电影频道,#genre# 
Cinemax,http://zb.hpc.tw/smtv.php?id=Cinemax
Animax,http://zb.hpc.tw/smtv.php?id=Animax
Movies Now HD,http://zb.hpc.tw/smtv.php?id=moviesnow_raj
Star Movies HD,http://zb.hpc.tw/smtv.php?id=starmovies_raj
HBO Family,http://zb.hpc.tw/smtv.php?id=Hbofamily
Hits,http://zb.hpc.tw/smtv.php?id=Hits
Warner TV,http://zb.hpc.tw/smtv.php?id=WarnerTV
HBO HD,http://zb.hpc.tw/smtv.php?id=Hbo
HBO Signature,http://zb.hpc.tw/smtv.php?id=Hbosignature
HBO Hits,http://zb.hpc.tw/smtv.php?id=Hbohitshd
SCM,http://zb.hpc.tw/smtv.php?id=Weishimovie
Dreamworks,http://zb.hpc.tw/smtv.php?id=Dreamworks
Thrill,http://zb.hpc.tw/smtv.php?id=Thrill
Hits Movie,http://zb.hpc.tw/smtv.php?id=Hitsmovie
One,http://zb.hpc.tw/smtv.php?id=One
tvN Movie,http://zb.hpc.tw/smtv.php?id=Tvnmovie
Celestial Classic,http://zb.hpc.tw/smtv.php?id=Celestial2
Celestial Movies HD,http://zb.hpc.tw/smtv.php?id=Celestialindo
Axn HD,http://zb.hpc.tw/smtv.php?id=Axn
Paramount Network,http://zb.hpc.tw/smtv.php?id=Paramountnetwork
Astrol Kplus,http://zb.hpc.tw/smtv.php?id=Kplus
Rock Actions,http://zb.hpc.tw/smtv.php?id=Rockaction
Rock Entertainment,http://zb.hpc.tw/smtv.php?id=Rockentertain

记录频道,#genre# 
Natgeo_HD,http://zb.hpc.tw/smtv.php?id=natgeohd_twn
NatGeo_Wild HD,http://zb.hpc.tw/smtv.php?id=natgeowild_twn
Animal_Planet,http://zb.hpc.tw/smtv.php?id=animalplanet_twn
Discovery Asia,http://zb.hpc.tw/smtv.php?id=discoverytwn_twn
CI,http://zb.hpc.tw/smtv.php?id=ci_twn
Discovery HD,http://zb.hpc.tw/smtv.php?id=discoveryhd_twn
NatGeo HD,http://zb.hpc.tw/smtv.php?id=Natgeo
Fashion TV,http://zb.hpc.tw/smtv.php?id=fashiontv_twn
History,http://zb.hpc.tw/smtv.php?id=History
BBC Earth HD,http://zb.hpc.tw/smtv.php?id=bbcearth_twn
BBC Earth Lifestyle,http://zb.hpc.tw/smtv.php?id=bbclifestyle_twn
NatGeo Wild HD,http://zb.hpc.tw/smtv.php?id=Natgeowild
Animal Planet (Eng),http://zb.hpc.tw/smtv.php?id=AnimalPlanet
TLC,http://zb.hpc.tw/smtv.php?id=Tlc
Foodnetwork Hd,http://zb.hpc.tw/smtv.php?id=Foodnetwork
HGTV,http://zb.hpc.tw/smtv.php?id=HGTV

新闻频道,#genre# 
Skynews,http://zb.hpc.tw/smtv.php?id=skynews_twn
ABC News,http://zb.hpc.tw/smtv.php?id=abcnews_glo
CBS HD,http://zb.hpc.tw/smtv.php?id=cbshd_glo
CBSN HD,http://zb.hpc.tw/smtv.php?id=cbsn_glo
France 24,http://zb.hpc.tw/smtv.php?id=france24_twn
DW (Deutsch),http://zb.hpc.tw/smtv.php?id=dw_twn
NHK World,http://zb.hpc.tw/smtv.php?id=nhkworld_japan
Fox News,http://zb.hpc.tw/smtv.php?id=foxnews_twn
CNN International,http://zb.hpc.tw/smtv.php?id=Cnn
CNN backup,http://zb.hpc.tw/smtv.php?id=cnn_twn
CNBC,http://zb.hpc.tw/smtv.php?id=cnbc_twn
CNA,http://zb.hpc.tw/smtv.php?id=cna
BBC World News,http://zb.hpc.tw/smtv.php?id=bbcnews_twn
BBC World News,http://zb.hpc.tw/smtv.php?id=Bbcnews
Bloomberg News,http://zb.hpc.tw/smtv.php?id=bloomberg_twn
Al-Jazeera,http://zb.hpc.tw/smtv.php?id=aljazeera_twn

儿童频道,#genre# 
Baby TV Eng,http://zb.hpc.tw/smtv.php?id=Babytv
CBeebies,http://zb.hpc.tw/smtv.php?id=Cbeebies
Kids TV,http://zb.hpc.tw/smtv.php?id=KidsTV
Momo TV,http://zb.hpc.tw/smtv.php?id=momo1_twn
Baby TV,http://zb.hpc.tw/smtv.php?id=babytv_twn
MiaoMi,http://zb.hpc.tw/smtv.php?id=MiaoMi
Cartoon Network,http://zb.hpc.tw/smtv.php?id=Cn
Nickelodeon,http://zb.hpc.tw/smtv.php?id=Nickelodeon
Nick Jr,http://zb.hpc.tw/smtv.php?id=Nickjr

新加坡频道,#genre# 
Channel 5,http://zb.hpc.tw/smtv.php?id=Channel5HD
Channel 8,http://zb.hpc.tw/smtv.php?id=Channel8HD
Suria,http://zb.hpc.tw/smtv.php?id=Suria
Channel U,http://zb.hpc.tw/smtv.php?id=ChannelU
Vasantham,http://zb.hpc.tw/smtv.php?id=Vasantham
CNA backup,http://zb.hpc.tw/smtv.php?id=cna_twn
MeWatch Ch 5,http://zb.hpc.tw/smtv.php?id=Mewatch_ch5
MeWatch Ch 8,http://zb.hpc.tw/smtv.php?id=Mewatch_ch8
MeWatch Ch U,http://zb.hpc.tw/smtv.php?id=Mewatch_chU
MeWatch Suria,http://zb.hpc.tw/smtv.php?id=Mewatch_Suria
MeWatch Vasantham,http://zb.hpc.tw/smtv.php?id=Mewatch_Vasantham
MeWatch CNA,http://zb.hpc.tw/smtv.php?id=Mewatch_cna

马来西亚频道,#genre# 
TV1,http://zb.hpc.tw/smtv.php?id=TV1
TV1 backup,http://zb.hpc.tw/smtv.php?id=TV1_backup
TV2,http://zb.hpc.tw/smtv.php?id=TV2
TV3,http://zb.hpc.tw/smtv.php?id=TV3
TV3 SD,http://zb.hpc.tw/smtv.php?id=TV3_mega
NTV7,http://zb.hpc.tw/smtv.php?id=NTV7
TV8,http://zb.hpc.tw/smtv.php?id=TV8
TV9,http://zb.hpc.tw/smtv.php?id=TV9
Ria,http://zb.hpc.tw/smtv.php?id=Ria-0
Ria-3,http://zb.hpc.tw/smtv.php?id=Ria_backup
Al-Hijrah,http://zb.hpc.tw/smtv.php?id=Alhijrah
Al-Hijrah backup,http://zb.hpc.tw/smtv.php?id=Alhijrah_backup
Awani,http://zb.hpc.tw/smtv.php?id=Awani
Bernama,http://zb.hpc.tw/smtv.php?id=Bernama
Prima,http://zb.hpc.tw/smtv.php?id=Prima-0
Prima backup,http://zb.hpc.tw/smtv.php?id=AAprima1
Prima backup 2,http://zb.hpc.tw/smtv.php?id=AAprima
Ceria,http://zb.hpc.tw/smtv.php?id=Ceria
Astro MTV,http://zb.hpc.tw/smtv.php?id=AstroMTV
Mecca Live HD,http://zb.hpc.tw/smtv.php?id=quran_mido
Madinah HD,http://zb.hpc.tw/smtv.php?id=sunnah_mido
Oasis,http://zb.hpc.tw/smtv.php?id=Oasis
Siar,http://zb.hpc.tw/smtv.php?id=Siar
Citra,http://zb.hpc.tw/smtv.php?id=AAcitra
Citra backup,http://zb.hpc.tw/smtv.php?id=AAcitra1
Sensasi,http://zb.hpc.tw/smtv.php?id=Sensasi
Aura,http://zb.hpc.tw/smtv.php?id=Aura
Rania,http://zb.hpc.tw/smtv.php?id=Rania
KBS World,http://zb.hpc.tw/smtv.php?id=KBS
Boo,http://zb.hpc.tw/smtv.php?id=Boo
Awesome TV,http://zb.hpc.tw/smtv.php?id=Dsangat
Astro Sonypix,http://zb.hpc.tw/smtv.php?id=Asonypix
Sony HD,http://zb.hpc.tw/smtv.php?id=SetOne
TvN,http://zb.hpc.tw/smtv.php?id=TVN
AEC,http://zb.hpc.tw/smtv.php?id=AEC
