📡央视频道👉,#genre#
CCTV6,http://110.72.65.11:808/hls/39/index.m3u8
CCTV8,http://110.72.65.11:808/hls/40/index.m3u8
CCTV9,http://110.72.65.11:808/hls/119/index.m3u8
CCTV7,http://110.72.65.11:808/hls/5/index.m3u8
CCTV5+,http://110.72.65.11:808/hls/14/index.m3u8
CCTV9,http://110.72.65.11:808/hls/119/index.m3u8
CCTV5,http://110.72.65.11:808/hls/38/index.m3u8
CCTV6,http://110.72.65.11:808/hls/39/index.m3u8
CCTV8,http://110.72.65.11:808/hls/40/index.m3u8
CCTV1,http://110.72.65.11:808/hls/54/index.m3u8
CCTV1,http://61.144.82.101:808/hls/38/index.m3u8
CCTV2,http://61.144.82.101:808/hls/39/index.m3u8
CCTV4,http://61.144.82.101:808/hls/41/index.m3u8
CCTV5,http://61.144.82.101:808/hls/42/index.m3u8
CCTV6,http://61.144.82.101:808/hls/51/index.m3u8
CCTV7,http://61.144.82.101:808/hls/52/index.m3u8
CCTV8,http://61.144.82.101:808/hls/53/index.m3u8
CCTV9,http://61.144.82.101:808/hls/54/index.m3u8
CCTV10,http://61.144.82.101:808/hls/55/index.m3u8
CCTV12,http://61.144.82.101:808/hls/57/index.m3u8
CCTV1,http://61.144.82.101:808/hls/617/index.m3u8
CCTV2,http://61.144.82.101:808/hls/618/index.m3u8
CCTV3,http://61.144.82.101:808/hls/619/index.m3u8
CCTV4,http://61.144.82.101:808/hls/620/index.m3u8
CCTV5,http://61.144.82.101:808/hls/621/index.m3u8
CCTV6,http://61.144.82.101:808/hls/622/index.m3u8
CCTV7,http://61.144.82.101:808/hls/623/index.m3u8
CCTV8,http://61.144.82.101:808/hls/624/index.m3u8
CCTV9,http://61.144.82.101:808/hls/625/index.m3u8
CCTV10,http://61.144.82.101:808/hls/626/index.m3u8
CCTV11,http://61.144.82.101:808/hls/627/index.m3u8
CCTV12,http://61.144.82.101:808/hls/628/index.m3u8
CCTV13,http://61.144.82.101:808/hls/629/index.m3u8
CCTV14,http://61.144.82.101:808/hls/630/index.m3u8
CCTV15,http://61.144.82.101:808/hls/631/index.m3u8
CCTV17,http://61.144.82.101:808/hls/633/index.m3u8
CCTV5+,http://61.144.82.101:808/hls/676/index.m3u8
CCTV1,http://110.72.64.143:808/hls/54/index.m3u8
CCTV3,http://110.72.64.143:808/hls/37/index.m3u8
CCTV5,http://110.72.64.143:808/hls/38/index.m3u8
CCTV6,http://110.72.64.143:808/hls/39/index.m3u8
CCTV8,http://110.72.64.143:808/hls/40/index.m3u8
CCTV9,http://110.72.64.143:808/hls/119/index.m3u8
CCTV7,http://110.72.64.143:808/hls/5/index.m3u8
CCTV5+,http://110.72.64.143:808/hls/14/index.m3u8
CCTV9,http://110.72.64.143:808/hls/119/index.m3u8
CCTV5,http://110.72.64.143:808/hls/38/index.m3u8
CCTV6,http://110.72.64.143:808/hls/39/index.m3u8
CCTV8,http://110.72.64.143:808/hls/40/index.m3u8
CCTV1,http://110.72.64.143:808/hls/54/index.m3u8
CCTV1,http://110.72.72.90:808/hls/54/index.m3u8
CCTV3,http://110.72.72.90:808/hls/37/index.m3u8
CCTV5,http://110.72.72.90:808/hls/38/index.m3u8
CCTV6,http://110.72.72.90:808/hls/39/index.m3u8
CCTV8,http://110.72.72.90:808/hls/40/index.m3u8
CCTV9,http://110.72.72.90:808/hls/119/index.m3u8
CCTV7,http://110.72.72.90:808/hls/5/index.m3u8
CCTV5+,http://110.72.72.90:808/hls/14/index.m3u8
CCTV9,http://110.72.72.90:808/hls/119/index.m3u8
CCTV5,http://110.72.72.90:808/hls/38/index.m3u8
CCTV6,http://110.72.72.90:808/hls/39/index.m3u8
CCTV8,http://110.72.72.90:808/hls/40/index.m3u8
CCTV1,http://110.72.72.90:808/hls/54/index.m3u8
CCTV1,http://110.72.60.83:808/hls/54/index.m3u8
CCTV3,http://110.72.60.83:808/hls/37/index.m3u8
CCTV5,http://110.72.60.83:808/hls/38/index.m3u8
CCTV6,http://110.72.60.83:808/hls/39/index.m3u8
CCTV8,http://110.72.60.83:808/hls/40/index.m3u8
CCTV9,http://110.72.60.83:808/hls/119/index.m3u8
CCTV7,http://110.72.60.83:808/hls/5/index.m3u8
CCTV5+,http://110.72.60.83:808/hls/14/index.m3u8
CCTV9,http://110.72.60.83:808/hls/119/index.m3u8
CCTV5,http://110.72.60.83:808/hls/38/index.m3u8
CCTV6,http://110.72.60.83:808/hls/39/index.m3u8
CCTV8,http://110.72.60.83:808/hls/40/index.m3u8
CCTV1,http://110.72.60.83:808/hls/54/index.m3u8
CCTV1,http://113.206.196.242:8005/udp/225.0.4.74:7980
CCTV2,http://113.206.196.242:8005/udp/225.0.4.132:7980
CCTV3,http://113.206.196.242:8005/udp/225.0.4.142:7980
CCTV4,http://113.206.196.242:8005/udp/225.0.4.176:7980
CCTV5,http://113.206.196.242:8005/udp/225.0.4.143:7980
CCTV5+,http://113.206.196.242:8005/udp/225.0.4.73:7980
CCTV6,http://113.206.196.242:8005/udp/225.0.4.144:7980
CCTV7,http://113.206.196.242:8005/udp/225.0.4.127:7980
CCTV8,http://113.206.196.242:8005/udp/225.0.4.137:7980
CCTV9,http://113.206.196.242:8005/udp/225.0.4.131:7980
CCTV10,http://113.206.196.242:8005/udp/225.0.4.130:7980
CCTV11,http://113.206.196.242:8005/udp/225.0.4.218:7980
CCTV12,http://113.206.196.242:8005/udp/225.0.4.129:7980
CCTV13,http://113.206.196.242:8005/udp/225.0.4.219:7980
CCTV14,http://113.206.196.242:8005/udp/225.0.4.128:7980
CCTV15,http://113.206.196.242:8005/udp/225.0.4.220:7980
CCTV17,http://113.206.196.242:8005/udp/225.0.4.179:7980
CCTV1,http://113.206.196.242:8004/udp/225.0.4.74:7980
CCTV2,http://113.206.196.242:8004/udp/225.0.4.132:7980
CCTV3,http://113.206.196.242:8004/udp/225.0.4.142:7980
CCTV4,http://113.206.196.242:8004/udp/225.0.4.176:7980
CCTV5,http://113.206.196.242:8004/udp/225.0.4.143:7980
CCTV5+,http://113.206.196.242:8004/udp/225.0.4.73:7980
CCTV6,http://113.206.196.242:8004/udp/225.0.4.144:7980
CCTV7,http://113.206.196.242:8004/udp/225.0.4.127:7980
CCTV8,http://113.206.196.242:8004/udp/225.0.4.137:7980
CCTV9,http://113.206.196.242:8004/udp/225.0.4.131:7980
CCTV10,http://113.206.196.242:8004/udp/225.0.4.130:7980
CCTV11,http://113.206.196.242:8004/udp/225.0.4.218:7980
CCTV12,http://113.206.196.242:8004/udp/225.0.4.129:7980
CCTV13,http://113.206.196.242:8004/udp/225.0.4.219:7980
CCTV14,http://113.206.196.242:8004/udp/225.0.4.128:7980
CCTV15,http://113.206.196.242:8004/udp/225.0.4.220:7980
CCTV17,http://113.206.196.242:8004/udp/225.0.4.179:7980
CCTV1,http://124.227.201.79:8888/udp/239.81.0.102:4056
CCTV1,http://124.227.201.79:8888/udp/239.81.0.13:4056
CCTV2,http://124.227.201.79:8888/udp/239.81.0.115:4056
CCTV2,http://124.227.201.79:8888/udp/239.81.0.14:4056
CCTV3,http://124.227.201.79:8888/udp/239.81.0.231:4056
